Set,precision,recall,fscore
wine RF estymatory=3 Fold:5,0.7037564725436887,0.5845315513112284,0.5556707104570507
wine RF estymatory=3 Fold:8,0.6918781417658763,0.5733856448616664,0.5450213065606003
wine RF estymatory=3 Fold:10,0.6800341352715894,0.5597182015517562,0.5324271155259793
wine RF estymatory=5 Fold:5,0.6289947273728986,0.5075939633517785,0.4837546281563263
wine RF estymatory=5 Fold:8,0.6256664363736207,0.5007714873495844,0.477634381648849
wine RF estymatory=5 Fold:10,0.6238402619323977,0.49318071978943395,0.4710996666124823
wine RF estymatory=8 Fold:5,0.5978772938872232,0.4609596646063165,0.44182438378406097
wine RF estymatory=8 Fold:8,0.5980436844257351,0.45659244150772893,0.437788745692755
wine RF estymatory=8 Fold:10,0.59926649804733,0.45128564740169563,0.43311359618761225
