Set,precision,recall,fscore
irisRF estymatory=5 Fold:5,0.9757575757575757,0.9733333333333334,0.9732664995822891
irisRF estymatory=5 Fold:10,0.969540121714035,0.9662525879917181,0.9659420586194039
irisRF estymatory=5 Fold:8,0.9674769674769674,0.9659340659340659,0.965643668072818
irisRF estymatory=10 Fold:10,0.9630495008212406,0.9587991718426512,0.9584469528853907
irisRF estymatory=10 Fold:8,0.9624148096709076,0.9586527293844376,0.9583581563866477
irisRF estymatory=10 Fold:5,0.9622393622393627,0.9584727584727593,0.9581653897645285
irisRF estymatory=15 Fold:8,0.9605279439716522,0.9561862714180592,0.955886097826981
irisRF estymatory=15 Fold:10,0.9606627556938111,0.9560090702947845,0.9556721214054967
irisRF estymatory=15 Fold:5,0.9602899690312275,0.956010656010656,0.9556567412027086
