Set,precision,recall,fscore
wine AdaBoost estymator=3 Fold:5,0.651146954953018,0.5286208591431107,0.5031162798630847
wine AdaBoost estymator=3 Fold:8,0.6422102800864473,0.5210981329699149,0.4959632411417158
wine AdaBoost estymator=3 Fold:10,0.6325708945041947,0.5121560858091658,0.4876534085573627
wine AdaBoost estymator=5 Fold:5,0.6113931679299529,0.47441410816270296,0.45419003635871336
wine AdaBoost estymator=5 Fold:8,0.6055045169340764,0.46956658889499914,0.4497548482424793
wine AdaBoost estymator=5 Fold:10,0.5996174955093007,0.46382065847660914,0.444328983254309
wine AdaBoost estymator=8 Fold:5,0.5953187561066894,0.43884513136186254,0.42181834330354356
wine AdaBoost estymator=8 Fold:8,0.5899157710134729,0.4354464318598224,0.41861779553044093
wine AdaBoost estymator=8 Fold:10,0.5858452304201904,0.4315698687235866,0.4148681085812408
