Set,precision,recall,fscore
Glass AdaBoost estymator=8 Fold:5,0.7192026048694987,0.5941097323703138,0.5658930697839434
Glass AdaBoost estymator=8 Fold:8,0.7148765285366449,0.5938906682244243,0.5652942852093041
Glass AdaBoost estymator=8 Fold:10,0.7095733008343778,0.5917415906244405,0.5624866606311328
Glass AdaBoost estymator=5 Fold:8,0.7058443216400597,0.5797554460152113,0.5511065547876423
Glass AdaBoost estymator=5 Fold:5,0.7085720756291963,0.5786102843915342,0.5503260133614742
Glass AdaBoost estymator=5 Fold:10,0.7020911250755774,0.5794755482708378,0.5500534664207071
Glass AdaBoost estymator=3 Fold:8,0.7114110059693511,0.5765727289032373,0.5468552942759201
Glass AdaBoost estymator=3 Fold:5,0.7220832074546265,0.5710460109969915,0.5435994699246608
Glass AdaBoost estymator=3 Fold:10,0.6996255074724981,0.5750076681236101,0.5426563914054316
