Set,precision,recall,fscore
seeds RF estymatory=8 Fold:10,0.5479508857878246,0.4348314096907835,0.4225997912217614
seeds RF estymatory=8 Fold:8,0.5495188932246273,0.4344786575656307,0.42203119859338056
seeds RF estymatory=8 Fold:5,0.5509790347200395,0.434389548584593,0.42176502189690857
seeds RF estymatory=5 Fold:10,0.560957205427221,0.4332780804749967,0.41948149142318336
seeds RF estymatory=5 Fold:8,0.5631687775625838,0.43308495421729193,0.4190175066618893
seeds RF estymatory=5 Fold:5,0.5649884704993882,0.43288450264708345,0.4185870135190589
seeds RF estymatory=3 Fold:10,0.5784394234765846,0.43171398845114933,0.41581373184869
seeds RF estymatory=3 Fold:8,0.5814862496214706,0.43145302464773,0.4151911283763059
seeds RF estymatory=3 Fold:5,0.5841782787934083,0.4316193247735947,0.41511577561715624
