Set,precision,recall,fscore
iris AdaBoost estymator=5 Fold:8,0.9632309937394684,0.9597793919827822,0.9594694399586362
iris AdaBoost estymator=5 Fold:5,0.963376782984626,0.9596949891067539,0.9593516524666047
iris AdaBoost estymator=5 Fold:10,0.9626017031814138,0.9588451805843117,0.9585313519931284
iris AdaBoost estymator=10 Fold:5,0.9607469613719616,0.9565211640211644,0.9561177889811184
iris AdaBoost estymator=10 Fold:8,0.9605186046592294,0.9563244047619047,0.9559638445857158
iris AdaBoost estymator=10 Fold:10,0.9604005093135525,0.9561076604554867,0.9557488292531743
iris AdaBoost estymator=15 Fold:5,0.960020402877545,0.9554547745023927,0.9551648311543592
iris AdaBoost estymator=15 Fold:8,0.9599015338863052,0.9553702360808957,0.9551035051645245
iris AdaBoost estymator=15 Fold:10,0.9598526138381209,0.9552718349819791,0.955001723900375
