Set,precision,recall,fscore
Glass Bagging estymatory=3 Fold:8,0.7449116965799443,0.5935607730746618,0.5681877489441385
Glass Bagging estymatory=3 Fold:5,0.7357814285513186,0.5891746976568404,0.568025204439987
Glass Bagging estymatory=8 Fold:10,0.721709695903007,0.5956049071198521,0.5672036984112327
Glass Bagging estymatory=8 Fold:8,0.7194962281259365,0.5934537113057223,0.565299362466077
Glass Bagging estymatory=8 Fold:5,0.7152785435259489,0.5924047379996171,0.5646529395373088
Glass Bagging estymatory=5 Fold:8,0.7156905537523328,0.5846267951625096,0.5552395807661493
Glass Bagging estymatory=5 Fold:5,0.7119383394794405,0.5827718458517428,0.5530734106281033
Glass Bagging estymatory=5 Fold:10,0.7143460332285274,0.580097481021394,0.5517881465844472
Glass Bagging estymatory=3 Fold:10,0.7384473402964037,0.5762623648493214,0.5483125951727608
