Set,precision,recall,fscore
Glass RF estymatory=3 Fold:8,0.773291553872856,0.5951439763939764,0.5895854607291175
Glass RF estymatory=3 Fold:10,0.7535288354878322,0.5941928341384861,0.5735941819963509
Glass RF estymatory=8 Fold:10,0.7142466569582674,0.5909783841072657,0.563045306198901
Glass RF estymatory=8 Fold:8,0.7079113639648029,0.5882325501944704,0.5604274104659338
Glass RF estymatory=5 Fold:10,0.7152628505993995,0.5885847998619739,0.5571814566351598
Glass RF estymatory=3 Fold:5,0.7223263643377497,0.5545039682539683,0.5567117798357788
Glass RF estymatory=8 Fold:5,0.7047935839129496,0.5828183390683388,0.5541671378215624
Glass RF estymatory=5 Fold:8,0.7046419801110348,0.5818936314363145,0.5521629297394112
Glass RF estymatory=5 Fold:5,0.6975578019627002,0.5767017017017017,0.5446286604413009
