Set,precision,recall,fscore
wine Bagging estymatory=3 Fold:5,0.6747463458367917,0.5535245944919885,0.5265497132995262
wine Bagging estymatory=3 Fold:8,0.6659882890301018,0.5442186494017125,0.517565109339694
wine Bagging estymatory=3 Fold:10,0.6578320979938282,0.5332464153183679,0.5075457754921666
wine Bagging estymatory=5 Fold:5,0.6228737551902299,0.4900160620713323,0.4684406866945554
wine Bagging estymatory=5 Fold:8,0.6187532413893264,0.48425308022471864,0.463207934115812
wine Bagging estymatory=5 Fold:10,0.615486778300489,0.47745674006703687,0.4570192490584278
wine Bagging estymatory=8 Fold:5,0.598482439917788,0.44876353230677374,0.4308994376247997
wine Bagging estymatory=8 Fold:8,0.5987547269998517,0.44501825891396524,0.4275647473076133
wine Bagging estymatory=8 Fold:10,0.5986241089147071,0.44081515076640715,0.4237381622908454
