Set,precision,recall,fscore
seeds Bagging estymatory=8 Fold:10,0.5443057721258171,0.435209436641945,0.4234336038475768
seeds Bagging estymatory=8 Fold:8,0.545839762419502,0.4349983888362119,0.42302787231643263
seeds Bagging estymatory=8 Fold:5,0.5471154162083246,0.4348800715941059,0.42276016992718174
seeds Bagging estymatory=5 Fold:10,0.556285658900173,0.43383921393210556,0.420581525058818
seeds Bagging estymatory=5 Fold:8,0.5582170786565351,0.4335278307708743,0.4200282002377996
seeds Bagging estymatory=5 Fold:5,0.5599519080352308,0.43348829401987826,0.41982988841654906
seeds Bagging estymatory=3 Fold:10,0.5719592773444848,0.43214490968651703,0.4170142426231458
seeds Bagging estymatory=3 Fold:8,0.5745242748069312,0.43174812990177275,0.41630074421893015
seeds Bagging estymatory=3 Fold:5,0.5769618021364521,0.43175924068263266,0.4160480246130596
