Set,precision,recall,fscore
iris Bagging estymatory=5 Fold:5,0.9676866784009645,0.9639455782312926,0.9636023264376434
iris Bagging estymatory=5 Fold:8,0.9636240302906971,0.9604938271604937,0.9601312701142944
iris Bagging estymatory=5 Fold:10,0.9642854729811251,0.9603864734299514,0.9600148982624823
iris Bagging estymatory=10 Fold:5,0.9630693380693387,0.9588610702012771,0.9585183420660305
iris Bagging estymatory=10 Fold:8,0.9615747127651892,0.9576114890400609,0.957233030605657
iris Bagging estymatory=10 Fold:10,0.9609960973004452,0.9566597653554182,0.956242484539231
iris Bagging estymatory=15 Fold:8,0.9610274251078843,0.9564039408866991,0.9561184938917535
iris Bagging estymatory=15 Fold:5,0.9605596322463789,0.9559284758079937,0.9555951030200859
iris Bagging estymatory=15 Fold:10,0.9601563693954992,0.9555124223602479,0.9552168702850613
